Alignment not found |  ,  | Line no.  1
Alignment not found |  ,  | Line no.  1170
Alignment not found |  and  | Line no.  1171
Alignment not found |  of  | Line no.  1171
Alignment not found |  ,  | Line no.  1172
Alignment not found |  ,  | Line no.  1172
Alignment not found |  ;  | Line no.  1172
Alignment not found |  of  | Line no.  1173
Alignment not found |  ,  | Line no.  1173
Alignment not found |  of  | Line no.  1173
Alignment not found |  ,  | Line no.  1173
Alignment not found |  of  | Line no.  1174
Alignment not found |  ,  | Line no.  1174
Alignment not found |  of  | Line no.  1174
Alignment not found |  ,  | Line no.  1174
Alignment not found |  ,  | Line no.  1175
Alignment not found |  of  | Line no.  1175
Alignment not found |  the  | Line no.  1176
Alignment not found |  ;  | Line no.  1176
Alignment not found |  of  | Line no.  1178
Alignment not found |  ;  | Line no.  1178
Alignment not found |  of  | Line no.  1178
Alignment not found |  ;  | Line no.  1178
Alignment not found |  ban2  | Line no.  1179
Alignment not found |  of  | Line no.  1179
Alignment not found |  ;  | Line no.  1179
Alignment not found |  of  | Line no.  1179
Alignment not found |  ;  | Line no.  1179
Alignment not found |  of  | Line no.  1180
Alignment not found |  ;  | Line no.  1180
Alignment not found |  ;  | Line no.  1181
Alignment not found |  of  | Line no.  1181
Alignment not found |  ;  | Line no.  1181
Alignment not found |  ,  | Line no.  1182
Alignment not found |  ,  | Line no.  1183
Alignment not found |  ”  | Line no.  1183
Alignment not found |  .  | Line no.  1184
Alignment not found |  ”  | Line no.  1184
Alignment not found |  ,  | Line no.  1185
Alignment not found |  .  | Line no.  1186
Alignment not found |  bundles  | Line no.  1187
Alignment not found |  ,  | Line no.  1187
Alignment not found |  ,  | Line no.  1188
Alignment not found |  ?  | Line no.  1189
Alignment not found |  ;  | Line no.  1189
Alignment not found |  ,  | Line no.  1190
Alignment not found |  of  | Line no.  1191
Alignment not found |  ;  | Line no.  1191
Alignment not found |  ,  | Line no.  1193
Alignment not found |  ,  | Line no.  1195
Alignment not found |  ,  | Line no.  1197
Alignment not found |  ,  | Line no.  1199
Alignment not found |  from  | Line no.  1202
Alignment not found |  the  | Line no.  1202
Alignment not found |  out  | Line no.  1202
Alignment not found |  ,  | Line no.  1202
label .01 or .02 does not exist for the predicate. 1203
Alignment not found |  of  | Line no.  1203
Alignment not found |  ,  | Line no.  1203
Alignment not found |  ;  | Line no.  1204
Alignment not found |  .  | Line no.  1205
Alignment not found |  ”  | Line no.  1205
Alignment not found |  .  | Line no.  1206
Alignment not found |  :  | Line no.  1207
Alignment not found |  of  | Line no.  1207
Alignment not found |  ;  | Line no.  1207
Alignment not found |  :  | Line no.  1208
Alignment not found |  of  | Line no.  1208
Alignment not found |  ;  | Line no.  1208
Alignment not found |  :  | Line no.  1209
Alignment not found |  of  | Line no.  1209
Alignment not found |  ;  | Line no.  1209
Alignment not found |  ,  | Line no.  1210
Alignment not found |  ;  | Line no.  1210
Alignment not found |  of  | Line no.  1212
Alignment not found |  ;  | Line no.  1212
Alignment not found |  :  | Line no.  1213
Alignment not found |  of  | Line no.  1214
Alignment not found |  ;  | Line no.  1214
Alignment not found |  :  | Line no.  1215
Alignment not found |  of  | Line no.  1215
Alignment not found |  of  | Line no.  1215
Alignment not found |  ;  | Line no.  1215
Alignment not found |  ,  | Line no.  1216
Alignment not found |  with  | Line no.  1216
Alignment not found |  at  | Line no.  1216
Alignment not found |  ,  | Line no.  1216
Alignment not found |  .  | Line no.  1216
Alignment not found |  ,  | Line no.  1232
Alignment not found |  ,  | Line no.  1234
Alignment not found |  ,  | Line no.  1236
Alignment not found |  ,  | Line no.  1237
Alignment not found |  For  | Line no.  1239
Alignment not found |  ,  | Line no.  1239
Alignment not found |  the  | Line no.  1240
Alignment not found |  ,  | Line no.  1241
Alignment not found |  ,  | Line no.  1242
Alignment not found |  ,  | Line no.  1243
Alignment not found |  ,  | Line no.  1246
Alignment not found |  To  | Line no.  1249
Alignment not found |  ,  | Line no.  1249
Alignment not found |  ,  | Line no.  1250
Alignment not found |  ,  | Line no.  1251
Alignment not found |  ,  | Line no.  1254
Alignment not found |  and  | Line no.  1257
Alignment not found |  .  | Line no.  1257
Alignment not found |  .  | Line no.  1259
Alignment not found |  ,  | Line no.  1272
Alignment not found |  ,  | Line no.  1273
Alignment not found |  ,  | Line no.  1273
Alignment not found |  the  | Line no.  1274
Alignment not found |  ,  | Line no.  1274
Alignment not found |  ”  | Line no.  1274
Alignment not found |  ,  | Line no.  1275
Alignment not found |  ”  | Line no.  1275
Alignment not found |  ,  | Line no.  1276
Alignment not found |  ”  | Line no.  1276
Alignment not found |  ,  | Line no.  1277
Alignment not found |  ”  | Line no.  1277
Alignment not found |  of  | Line no.  1278
Alignment not found |  ,  | Line no.  1278
Alignment not found |  ”  | Line no.  1278
Alignment not found |  The  | Line no.  1279
label .01 or .02 does not exist for the predicate. 1279
Alignment not found |  of  | Line no.  1279
Alignment not found |  ,  | Line no.  1279
Alignment not found |  ”  | Line no.  1279
Alignment not found |  ,  | Line no.  1280
Alignment not found |  ,  | Line no.  1280
Alignment not found |  ,  | Line no.  1281
Alignment not found |  ,  | Line no.  1281
Alignment not found |  ”  | Line no.  1281
Alignment not found |  ,  | Line no.  1282
Alignment not found |  The  | Line no.  1282
label .01 or .02 does not exist for the predicate. 1282
Alignment not found |  of  | Line no.  1282
Alignment not found |  ,  | Line no.  1282
Alignment not found |  ”  | Line no.  1282
Alignment not found |  ,  | Line no.  1283
Alignment not found |  The  | Line no.  1283
label .01 or .02 does not exist for the predicate. 1283
Alignment not found |  of  | Line no.  1283
Alignment not found |  ,  | Line no.  1283
Alignment not found |  ”  | Line no.  1283
Alignment not found |  ,  | Line no.  1284
Alignment not found |  .  | Line no.  1284
Alignment not found |  ,  | Line no.  1290
Alignment not found |  of  | Line no.  1291
Alignment not found |  ,  | Line no.  1291
Alignment not found |  his  | Line no.  1292
Alignment not found |  ,  | Line no.  1292
Alignment not found |  ,  | Line no.  1293
Alignment not found |  one  | Line no.  1294
Alignment not found |  ,  | Line no.  1296
Alignment not found |  the  | Line no.  1297
Alignment not found |  the  | Line no.  1298
Alignment not found |  ,  | Line no.  1298
Alignment not found |  the  | Line no.  1299
Alignment not found |  and  | Line no.  1301
Alignment not found |  ,  | Line no.  1301
Alignment not found |  the  | Line no.  1302
Alignment not found |  ,  | Line no.  1302
Alignment not found |  the  | Line no.  1303
Alignment not found |  ,  | Line no.  1304
Alignment not found |  of  | Line no.  1311
Alignment not found |  ,  | Line no.  1311
Alignment not found |  .  | Line no.  1315
Alignment not found |  ,  | Line no.  1316
Alignment not found |  ,  | Line no.  1316
Alignment not found |  ,  | Line no.  1317
Alignment not found |  ,  | Line no.  1318
Alignment not found |  ,  | Line no.  1319
Alignment not found |  ,  | Line no.  1320
Alignment not found |  ,  | Line no.  1323
Alignment not found |  ”  | Line no.  1323
Alignment not found |  ,  | Line no.  1324
Alignment not found |  ,  | Line no.  1324
Alignment not found |  ;  | Line no.  1324
Alignment not found |  ”  | Line no.  1324
Alignment not found |  ,  | Line no.  1326
Alignment not found |  ,  | Line no.  1327
Alignment not found |  the  | Line no.  1327
Alignment not found |  ,  | Line no.  1327
Alignment not found |  ;  | Line no.  1328
Alignment not found |  ,  | Line no.  1332
Alignment not found |  ”  | Line no.  1332
Alignment not found |  .  | Line no.  1333
Alignment not found |  ”  | Line no.  1333
Alignment not found |  of  | Line no.  1341
Alignment not found |  ,  | Line no.  1341
Alignment not found |  its  | Line no.  1342
Alignment not found |  “  | Line no.  1342
Alignment not found |  ”  | Line no.  1342
Alignment not found |  :  | Line no.  1342
Alignment not found |  ,  | Line no.  1342
Alignment not found |  its  | Line no.  1343
Alignment not found |  :  | Line no.  1343
Alignment not found |  ,  | Line no.  1343
Alignment not found |  ,  | Line no.  1344
Alignment not found |  “  | Line no.  1345
Alignment not found |  loss  | Line no.  1345
Alignment not found |  ”  | Line no.  1345
Alignment not found |  ,  | Line no.  1345
Alignment not found |  its  | Line no.  1346
Alignment not found |  ?  | Line no.  1346
Alignment not found |  :  | Line no.  1346
Alignment not found |  ,  | Line no.  1346
Alignment not found |  the  | Line no.  1356
Alignment not found |  as  | Line no.  1360
Alignment not found |  the  | Line no.  1360
Alignment not found |  of  | Line no.  1360
Alignment not found |  his  | Line no.  1360
Alignment not found |  ,  | Line no.  1360
Alignment not found |  the  | Line no.  1361
Alignment not found |  of  | Line no.  1364
Alignment not found |  ;  | Line no.  1365
Alignment not found |  For  | Line no.  1366
Alignment not found |  ,  | Line no.  1366
Alignment not found |  the  | Line no.  1367
Alignment not found |  ,  | Line no.  1367
Alignment not found |  the  | Line no.  1368
Alignment not found |  as  | Line no.  1369
Alignment not found |  one  | Line no.  1369
Alignment not found |  ,  | Line no.  1370
Alignment not found |  the  | Line no.  1371
Alignment not found |  and  | Line no.  1373
Alignment not found |  ,  | Line no.  1373
Alignment not found |  ,  | Line no.  1375
Alignment not found |  the  | Line no.  1376
Alignment not found |  of  | Line no.  1377
Alignment not found |  ,  | Line no.  1377
Alignment not found |  ,  | Line no.  1378
Alignment not found |  ;  | Line no.  1394
Alignment not found |  for  | Line no.  1397
Alignment not found |  ,  | Line no.  1397
Alignment not found |  ,  | Line no.  1398
Alignment not found |  ;  | Line no.  1398
Alignment not found |  ,  | Line no.  1399
Alignment not found |  the  | Line no.  1400
Alignment not found |  ,  | Line no.  1400
Alignment not found |  Inta  | Line no.  1401
Alignment not found |  ’  | Line no.  1401
Alignment not found |  e  | Line no.  1401
Alignment not found |  ’  | Line no.  1401
Alignment not found |  a  | Line no.  1401
Alignment not found |  ,  | Line no.  1401
Alignment not found |  ,  | Line no.  1402
Alignment not found |  the  | Line no.  1402
Alignment not found |  ;  | Line no.  1402
Alignment not found |  ,  | Line no.  1403
Alignment not found |  ”  | Line no.  1403
Alignment not found |  is  | Line no.  1404
Alignment not found |  ;  | Line no.  1404
Alignment not found |  ”  | Line no.  1404
Alignment not found |  .  | Line no.  1405
Alignment not found |  ,  | Line no.  1411
Alignment not found |  ,  | Line no.  1411
Alignment not found |  at  | Line no.  1412
Alignment not found |  ,  | Line no.  1412
Alignment not found |  and  | Line no.  1413
Alignment not found |  ;  | Line no.  1413
Alignment not found |  ,  | Line no.  1414
Alignment not found |  ,  | Line no.  1414
Alignment not found |  at  | Line no.  1415
Alignment not found |  ,  | Line no.  1415
Alignment not found |  ,  | Line no.  1416
Alignment not found |  ,  | Line no.  1417
Alignment not found |  ,  | Line no.  1418
Alignment not found |  of  | Line no.  1419
Alignment not found |  A  | Line no.  1419
Alignment not found |  ’  | Line no.  1419
Alignment not found |  abba  | Line no.  1419
Alignment not found |  ;  | Line no.  1419
Alignment not found |  ,  | Line no.  1420
Alignment not found |  ”  | Line no.  1420
Alignment not found |  .  | Line no.  1423
Alignment not found |  ,  | Line no.  1424
Alignment not found |  and  | Line no.  1427
Alignment not found |  .  | Line no.  1427
Alignment not found |  ,  | Line no.  1428
Alignment not found |  ,  | Line no.  1428
Alignment not found |  .  | Line no.  1429
Alignment not found |  ,  | Line no.  1430
Alignment not found |  ,  | Line no.  1431
Alignment not found |  ,  | Line no.  1432
Alignment not found |  and  | Line no.  1435
Alignment not found |  ,  | Line no.  1435
Alignment not found |  .  | Line no.  1437
Alignment not found |  of  | Line no.  1439
Alignment not found |  ,  | Line no.  1439
Alignment not found |  ,  | Line no.  1440
Alignment not found |  ,  | Line no.  1440
Alignment not found |  ,  | Line no.  1441
Alignment not found |  of  | Line no.  1442
Alignment not found |  the  | Line no.  1442
Alignment not found |  of  | Line no.  1442
Alignment not found |  ,  | Line no.  1442
Alignment not found |  the  | Line no.  1443
Alignment not found |  of  | Line no.  1443
Alignment not found |  ,  | Line no.  1443
Alignment not found |  ;  | Line no.  1444
Alignment not found |  ,  | Line no.  1446
Alignment not found |  ,  | Line no.  1447
Alignment not found |  ,  | Line no.  1448
Alignment not found |  ;  | Line no.  1449
Alignment not found |  ,  | Line no.  1450
Alignment not found |  ;  | Line no.  1451
Alignment not found |  ,  | Line no.  1452
Alignment not found |  ”  | Line no.  1452
Alignment not found |  ,  | Line no.  1453
Alignment not found |  ,  | Line no.  1453
Alignment not found |  ;  | Line no.  1453
Alignment not found |  ”  | Line no.  1453
Alignment not found |  .  | Line no.  1454
Alignment not found |  ,  | Line no.  1455
Alignment not found |  ,  | Line no.  1456
Alignment not found |  ,  | Line no.  1457
Alignment not found |  ,  | Line no.  1458
Alignment not found |  ;  | Line no.  1459
Alignment not found |  ,  | Line no.  1461
Alignment not found |  ,  | Line no.  1461
Alignment not found |  ;  | Line no.  1462
Alignment not found |  ”  | Line no.  1462
Alignment not found |  .  | Line no.  1463
Alignment not found |  :  | Line no.  1464
Alignment not found |  .  | Line no.  1464
Alignment not found |  ;  | Line no.  1466
Alignment not found |  ;  | Line no.  1467
Alignment not found |  A  | Line no.  1468
Alignment not found |  ’  | Line no.  1468
Alignment not found |  aba  | Line no.  1468
Alignment not found |  ;  | Line no.  1468
Alignment not found |  ”  | Line no.  1469
Alignment not found |  The  | Line no.  1470
label .01 or .02 does not exist for the predicate. 1470
Alignment not found |  of  | Line no.  1470
Alignment not found |  ,  | Line no.  1470
Alignment not found |  .  | Line no.  1470
Alignment not found |  ,  | Line no.  1471
Alignment not found |  ,  | Line no.  1472
Alignment not found |  the  | Line no.  1474
Alignment not found |  .  | Line no.  1474
Alignment not found |  ,  | Line no.  1475
Alignment not found |  ,  | Line no.  1476
Alignment not found |  .  | Line no.  1477
Alignment not found |  to  | Line no.  1480
Alignment not found |  of  | Line no.  1481
Alignment not found |  the  | Line no.  1481
Alignment not found |  ;  | Line no.  1481
Alignment not found |  is  | Line no.  1482
Alignment not found |  ;  | Line no.  1482
Alignment not found |  of  | Line no.  1483
Alignment not found |  the  | Line no.  1483
Alignment not found |  the  | Line no.  1483
Alignment not found |  has  | Line no.  1483
label .01 or .02 does not exist for the predicate. 1483
Alignment not found |  ;  | Line no.  1483
Alignment not found |  ;  | Line no.  1485
Alignment not found |  ,  | Line no.  1487
Alignment not found |  ”  | Line no.  1487
Alignment not found |  ;  | Line no.  1488
Alignment not found |  ”  | Line no.  1488
Alignment not found |  .  | Line no.  1489
Alignment not found |  indeed  | Line no.  1491
Alignment not found |  to  | Line no.  1491
Alignment not found |  him  | Line no.  1491
Alignment not found |  ,  | Line no.  1491
Alignment not found |  ,  | Line no.  1493
Alignment not found |  the  | Line no.  1494
Alignment not found |  ,  | Line no.  1494
Alignment not found |  the  | Line no.  1495
Alignment not found |  of  | Line no.  1495
Alignment not found |  of  | Line no.  1497
Alignment not found |  the  | Line no.  1497
Alignment not found |  world  | Line no.  1497
Alignment not found |  the  | Line no.  1498
Alignment not found |  ,  | Line no.  1498
Alignment not found |  of  | Line no.  1500
Alignment not found |  and  | Line no.  1501
Alignment not found |  ,  | Line no.  1502
Alignment not found |  the  | Line no.  1503
Alignment not found |  of  | Line no.  1503
Alignment not found |  .  | Line no.  1503
Alignment not found |  He  | Line no.  1504
Alignment not found |  ,  | Line no.  1505
Alignment not found |  the  | Line no.  1506
Alignment not found |  of  | Line no.  1506
Alignment not found |  Sigriš  | Line no.  1506
Alignment not found |  ,  | Line no.  1506
Alignment not found |  the  | Line no.  1507
Alignment not found |  of  | Line no.  1507
Alignment not found |  ,  | Line no.  1507
Alignment not found |  the  | Line no.  1508
Alignment not found |  of  | Line no.  1508
Alignment not found |  ,  | Line no.  1508
Alignment not found |  the  | Line no.  1509
Alignment not found |  of  | Line no.  1509
Alignment not found |  ,  | Line no.  1509
Alignment not found |  and  | Line no.  1510
Alignment not found |  the  | Line no.  1510
Alignment not found |  a  | Line no.  1511
Alignment not found |  of  | Line no.  1511
Alignment not found |  .  | Line no.  1511
Alignment not found |  ,  | Line no.  1512
Alignment not found |  ,  | Line no.  1513
Alignment not found |  ,  | Line no.  1514
Alignment not found |  ,  | Line no.  1515
Alignment not found |  ,  | Line no.  1516
Alignment not found |  ,  | Line no.  1517
Alignment not found |  the  | Line no.  1519
Alignment not found |  of  | Line no.  1519
Alignment not found |  in  | Line no.  1520
Alignment not found |  with  | Line no.  1520
Alignment not found |  his  | Line no.  1520
Alignment not found |  to  | Line no.  1521
Alignment not found |  ,  | Line no.  1521
Alignment not found |  and  | Line no.  1522
Alignment not found |  the  | Line no.  1522
Alignment not found |  and  | Line no.  1523
Alignment not found |  the  | Line no.  1523
Alignment not found |  and  | Line no.  1524
Alignment not found |  the  | Line no.  1524
Alignment not found |  gods  | Line no.  1524
Alignment not found |  the  | Line no.  1525
Alignment not found |  ,  | Line no.  1525
Alignment not found |  as  | Line no.  1527
Alignment not found |  in  | Line no.  1528
Alignment not found |  From  | Line no.  1529
Alignment not found |  which  | Line no.  1530
Alignment not found |  he  | Line no.  1530
Alignment not found |  a  | Line no.  1531
Alignment not found |  of  | Line no.  1531
Alignment not found |  himself  | Line no.  1531
Alignment not found |  he  | Line no.  1532
Alignment not found |  ,  | Line no.  1532
Alignment not found |  and  | Line no.  1532
Alignment not found |  his  | Line no.  1535
Alignment not found |  for  | Line no.  1536
Alignment not found |  his  | Line no.  1537
Alignment not found |  The  | Line no.  1539
Alignment not found |  one  | Line no.  1539
Alignment not found |  shall  | Line no.  1541
Alignment not found |  ,  | Line no.  1541
Alignment not found |  may  | Line no.  1542
Alignment not found |  his  | Line no.  1544
label .01 or .02 does not exist for the predicate. 1545
Alignment not found |  out  | Line no.  1545
Alignment not found |  his  | Line no.  1546
Alignment not found |  up  | Line no.  1547
Alignment not found |  .  | Line no.  1547
Alignment not found |  on  | Line no.  1549
Alignment not found |  the  | Line no.  1549
Alignment not found |  of  | Line no.  1549
Alignment not found |  ,  | Line no.  1549
Alignment not found |  .  | Line no.  1550
Alignment not found |  ,  | Line no.  1551
Alignment not found |  .  | Line no.  1553
Alignment not found |  on  | Line no.  1555
Alignment not found |  his  | Line no.  1555
Alignment not found |  .  | Line no.  1555
Alignment not found |  ,  | Line no.  1556
Alignment not found |  ,  | Line no.  1557
Alignment not found |  the  | Line no.  1558
Alignment not found |  as  | Line no.  1559
Alignment not found |  the  | Line no.  1559
Alignment not found |  one  | Line no.  1559
Alignment not found |  of  | Line no.  1559
Alignment not found |  ,  | Line no.  1560
Alignment not found |  the  | Line no.  1561
Alignment not found |  and  | Line no.  1562
Alignment not found |  .  | Line no.  1563
Alignment not found |  on  | Line no.  1565
Alignment not found |  the  | Line no.  1565
Alignment not found |  of  | Line no.  1565
Alignment not found |  ,  | Line no.  1565
Alignment not found |  of  | Line no.  1566
Alignment not found |  ,  | Line no.  1567
Alignment not found |  a  | Line no.  1568
Alignment not found |  on  | Line no.  1568
Alignment not found |  him  | Line no.  1568
Alignment not found |  .  | Line no.  1568
Alignment not found |  ,  | Line no.  1569
Alignment not found |  of  | Line no.  1571
Alignment not found |  .  | Line no.  1571
Alignment not found |  .  | Line no.  1573
Alignment not found |  ,  | Line no.  1574
Alignment not found |  of  | Line no.  1576
Alignment not found |  .  | Line no.  1576
Alignment not found |  on  | Line no.  1578
Alignment not found |  his  | Line no.  1578
Alignment not found |  .  | Line no.  1578
Alignment not found |  ,  | Line no.  1579
Alignment not found |  of  | Line no.  1581
Alignment not found |  on  | Line no.  1583
Alignment not found |  his  | Line no.  1583
Alignment not found |  .  | Line no.  1583
Alignment not found |  ,  | Line no.  1584
Alignment not found |  of  | Line no.  1586
Alignment not found |  .  | Line no.  1586
Alignment not found |  it  | Line no.  1589
Alignment not found |  .  | Line no.  1589
Alignment not found |  ,  | Line no.  1590
Alignment not found |  of  | Line no.  1592
Alignment not found |  .  | Line no.  1592
Alignment not found |  .  | Line no.  1594
Alignment not found |  ,  | Line no.  1595
Alignment not found |  of  | Line no.  1597
Alignment not found |  .  | Line no.  1597
Alignment not found |  .  | Line no.  1599
Alignment not found |  six  | Line no.  1600
Alignment not found |  captured  | Line no.  1600
Alignment not found |  men  | Line no.  1600
Alignment not found |  ,  | Line no.  1600
Alignment not found |  and  | Line no.  1601
Alignment not found |  their  | Line no.  1601
Alignment not found |  ,  | Line no.  1601
Alignment not found |  .  | Line no.  1601
Alignment not found |  ,  | Line no.  1602
Alignment not found |  of  | Line no.  1604
Alignment not found |  .  | Line no.  1604
Alignment not found |  his  | Line no.  1606
Alignment not found |  .  | Line no.  1606
Alignment not found |  ,  | Line no.  1607
Alignment not found |  of  | Line no.  1609
Alignment not found |  .  | Line no.  1609
Alignment not found |  .  | Line no.  1611
Alignment not found |  ,  | Line no.  1612
Alignment not found |  of  | Line no.  1614
Alignment not found |  .  | Line no.  1614
Alignment not found |  his  | Line no.  1616
Alignment not found |  .  | Line no.  1616
Alignment not found |  ,  | Line no.  1617
Alignment not found |  of  | Line no.  1619
Alignment not found |  .  | Line no.  1619
Alignment not found |  his  | Line no.  1621
Alignment not found |  .  | Line no.  1621
Alignment not found |  four  | Line no.  1622
Alignment not found |  captured  | Line no.  1622
Alignment not found |  men  | Line no.  1622
Alignment not found |  ,  | Line no.  1622
Alignment not found |  and  | Line no.  1623
Alignment not found |  their  | Line no.  1623
Alignment not found |  four  | Line no.  1623
Alignment not found |  ,  | Line no.  1623
Alignment not found |  .  | Line no.  1623
Alignment not found |  In  | Line no.  1624
Alignment not found |  of  | Line no.  1624
Alignment not found |  ,  | Line no.  1624
Alignment not found |  ,  | Line no.  1624
Alignment not found |  on  | Line no.  1625
Alignment not found |  his  | Line no.  1625
Alignment not found |  and  | Line no.  1625
Alignment not found |  .  | Line no.  1625
Alignment not found |  ,  | Line no.  1628
Alignment not found |  his  | Line no.  1630
Alignment not found |  foot  | Line no.  1630
Alignment not found |  .  | Line no.  1630
Alignment not found |  A  | Line no.  1631
Alignment not found |  from  | Line no.  1631
Alignment not found |  the  | Line no.  1631
Alignment not found |  at  | Line no.  1632
Alignment not found |  ,  | Line no.  1632
Alignment not found |  ;  | Line no.  1632
Alignment not found |  ;  | Line no.  1633
Alignment not found |  at  | Line no.  1634
Alignment not found |  ,  | Line no.  1634
Alignment not found |  ;  | Line no.  1635
Alignment not found |  at  | Line no.  1636
Alignment not found |  ,  | Line no.  1636
Alignment not found |  ;  | Line no.  1637
Alignment not found |  at  | Line no.  1638
Alignment not found |  ,  | Line no.  1638
Alignment not found |  ;  | Line no.  1639
Alignment not found |  at  | Line no.  1640
Alignment not found |  ,  | Line no.  1640
Alignment not found |  ;  | Line no.  1641
Alignment not found |  at  | Line no.  1642
Alignment not found |  ,  | Line no.  1642
Alignment not found |  ;  | Line no.  1643
Alignment not found |  at  | Line no.  1644
Alignment not found |  ,  | Line no.  1644
Alignment not found |  ;  | Line no.  1645
Alignment not found |  at  | Line no.  1646
Alignment not found |  ,  | Line no.  1646
Alignment not found |  ;  | Line no.  1647
Alignment not found |  at  | Line no.  1648
Alignment not found |  ,  | Line no.  1648
Alignment not found |  ;  | Line no.  1649
Alignment not found |  at  | Line no.  1650
Alignment not found |  ,  | Line no.  1650
Alignment not found |  its  | Line no.  1651
Alignment not found |  :  | Line no.  1651
Alignment not found |  ;  | Line no.  1651
Alignment not found |  long  | Line no.  1652
Alignment not found |  at  | Line no.  1652
Alignment not found |  ,  | Line no.  1652
Alignment not found |  ;  | Line no.  1653
Alignment not found |  ;  | Line no.  1654
Alignment not found |  work  | Line no.  1655
Alignment not found |  “  | Line no.  1655
Alignment not found |  ”  | Line no.  1655
Alignment not found |  the  | Line no.  1655
Alignment not found |  ,  | Line no.  1655
Alignment not found |  the  | Line no.  1656
Alignment not found |  at  | Line no.  1656
Alignment not found |  the  | Line no.  1656
Alignment not found |  end  | Line no.  1656
Alignment not found |  of  | Line no.  1656
Alignment not found |  the  | Line no.  1656
Alignment not found |  ;  | Line no.  1656
Alignment not found |  a  | Line no.  1657
Alignment not found |  goat  | Line no.  1657
Alignment not found |  ;  | Line no.  1657
Alignment not found |  ”  | Line no.  1657
Alignment not found |  .  | Line no.  1658
Alignment not found |  and  | Line no.  1663
Alignment not found |  ,  | Line no.  1663
Alignment not found |  him  | Line no.  1666
Alignment not found |  .  | Line no.  1666
Alignment not found |  ,  | Line no.  1668
Alignment not found |  ,  | Line no.  1668
Alignment not found |  ”  | Line no.  1668
Alignment not found |  ;  | Line no.  1669
Alignment not found |  ,  | Line no.  1673
Alignment not found |  ”  | Line no.  1673
Alignment not found |  ;  | Line no.  1674
Alignment not found |  ”  | Line no.  1674
Alignment not found |  .  | Line no.  1675
Alignment not found |  ,  | Line no.  1676
Alignment not found |  ,  | Line no.  1679
Alignment not found |  ”  | Line no.  1680
Alignment not found |  in  | Line no.  1681
Alignment not found |  the  | Line no.  1681
Alignment not found |  ,  | Line no.  1681
Alignment not found |  ,  | Line no.  1683
Alignment not found |  .  | Line no.  1684
Alignment not found |  of  | Line no.  1685
Alignment not found |  the  | Line no.  1686
Alignment not found |  Pa  | Line no.  1689
Alignment not found |  ’  | Line no.  1689
Alignment not found |  u  | Line no.  1689
Alignment not found |  ’  | Line no.  1689
Alignment not found |  e  | Line no.  1689
Alignment not found |  ,  | Line no.  1689
Alignment not found |  ”  | Line no.  1689
Alignment not found |  that  | Line no.  1691
Alignment not found |  he  | Line no.  1692
Alignment not found |  had  | Line no.  1692
Alignment not found |  for  | Line no.  1692
Alignment not found |  him  | Line no.  1692
Alignment not found |  ,  | Line no.  1695
Alignment not found |  .  | Line no.  1696
Alignment not found |  For  | Line no.  1697
Alignment not found |  ,  | Line no.  1698
Alignment not found |  ,  | Line no.  1699
Alignment not found |  ,  | Line no.  1700
Alignment not found |  and  | Line no.  1703
Alignment not found |  ,  | Line no.  1703
Alignment not found |  ,  | Line no.  1707
Alignment not found |  ,  | Line no.  1708
Alignment not found |  ,  | Line no.  1708
Alignment not found |  of  | Line no.  1708
Alignment not found |  ,  | Line no.  1709
Alignment not found |  ,  | Line no.  1709
Alignment not found |  .  | Line no.  1710
Alignment not found |  of  | Line no.  1711
Alignment not found |  ,  | Line no.  1711
Alignment not found |  of  | Line no.  1712
Alignment not found |  the  | Line no.  1712
Alignment not found |  ,  | Line no.  1712
Alignment not found |  did  | Line no.  1714
Alignment not found |  ,  | Line no.  1718
Alignment not found |  ,  | Line no.  1718
Alignment not found |  ,  | Line no.  1719
Alignment not found |  young  | Line no.  1719
Alignment not found |  oxen  | Line no.  1719
Alignment not found |  ,  | Line no.  1719
Alignment not found |  of  | Line no.  1719
Alignment not found |  the  | Line no.  1720
label .01 or .02 does not exist for the predicate. 1720
Alignment not found |  of  | Line no.  1720
Alignment not found |  the  | Line no.  1721
Alignment not found |  of  | Line no.  1721
Alignment not found |  ,  | Line no.  1721
Alignment not found |  ;  | Line no.  1722
Alignment not found |  :  | Line no.  1724
Alignment not found |  ,  | Line no.  1724
Alignment not found |  ,  | Line no.  1724
Alignment not found |  for  | Line no.  1725
Alignment not found |  of  | Line no.  1725
Alignment not found |  .  | Line no.  1726
Alignment not found |  ,  | Line no.  1727
Alignment not found |  his  | Line no.  1727
Alignment not found |  ,  | Line no.  1727
Alignment not found |  “  | Line no.  1728
Alignment not found |  He  | Line no.  1728
Alignment not found |  did  | Line no.  1728
Alignment not found |  not  | Line no.  1728
Alignment not found |  him  | Line no.  1728
Alignment not found |  ”  | Line no.  1728
Alignment not found |  ;  | Line no.  1728
Alignment not found |  :  | Line no.  1729
Alignment not found |  :  | Line no.  1730
Alignment not found |  :  | Line no.  1731
Alignment not found |  ,  | Line no.  1731
Alignment not found |  as  | Line no.  1732
Alignment not found |  .  | Line no.  1732
Alignment not found |  them  | Line no.  1733
Alignment not found |  ,  | Line no.  1733
Alignment not found |  to  | Line no.  1733
Alignment not found |  the  | Line no.  1733
Alignment not found |  was  | Line no.  1733
Alignment not found |  .  | Line no.  1733
label .01 or .02 does not exist for the predicate. 1734
Alignment not found |  ,  | Line no.  1734
Alignment not found |  the  | Line no.  1735
